"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.367,4.553,5.146,6.167,6.925,8.556,10.297,12.066,15.325,17.89,20.293,20.17,20.616,20.057,18.02,18.883,18.336,18.876,20.136,14.278,14.501,17.248,no data,no data,no data,no data,no data,no data,no data
Namibia,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.268,2.568,2.841,3.296,3.156,3.537,3.948,3.954,4.11,3.832,3.824,3.941,3.577,3.396,4.974,6.673,7.324,7.711,8.73,8.496,8.915,11.281,12.423,13.016,12.168,12.434,11.45,10.719,12.883,13.676,12.539,10.583,12.399,12.564,12.402,13.37,14.214,15.186,15.905,16.688,17.486,17.986
Nauru,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.032,0.031,0.029,0.025,0.036,0.047,0.05,0.069,0.101,0.089,0.097,0.076,0.1,0.109,0.131,0.125,0.125,0.176,0.152,0.152,0.161,0.169,0.174,0.181,0.188,0.197,0.205
Nepal,2.258,2.641,2.669,2.92,3.089,3.208,3.491,3.621,4.27,4.317,4.442,4.861,4.417,4.743,4.954,5.379,5.544,6.027,5.992,6.164,6.537,6.719,6.816,7.218,8.297,9.331,10.316,11.777,14.31,14.663,18.253,21.685,21.703,22.162,22.722,24.361,24.524,28.972,33.112,34.186,33.434,36.927,41.183,40.907,43.419,46.08,49.603,54.449,59.728,65.494,71.783
Netherlands,194.031,162.629,157.56,153.396,142.779,144.859,201.883,247.277,264.596,260.9,321.859,331.565,366.52,356.434,383.091,453.377,451.508,418.023,439.215,448.223,417.834,432.539,475.194,582.29,660.925,688.514,737.633,853.6,957.797,878,853.161,912.98,846.225,883.964,901.789,775.822,796.944,847.934,930.155,929.006,931.814,1055.173,1047.364,1154.694,1227.174,1272.011,1326.163,1370.33,1416.591,1464.429,1514.003
New Zealand,22.551,23.472,23.237,22.484,22.377,22.539,27.428,36.978,45.505,44.132,45.722,43.44,41.515,44.807,52.92,62.241,69.1,68.869,56.815,58.898,54.127,53.128,62.061,82.408,101.601,113.264,109.74,134.859,135.606,122.011,145.736,167.167,175.361,187.292,200.305,176.455,186.081,203.819,209.747,210.995,210.541,249.775,245.203,253.436,257.728,248.666,259.16,270.294,281.646,293.869,306.301
Nicaragua,1.832,2.156,2.497,2.9,3.966,3.854,5.8,3.409,1.499,2.082,0.519,3.678,3.894,3.726,3.861,4.14,4.308,4.39,4.635,4.856,5.109,5.335,5.224,5.322,5.793,6.321,6.764,7.423,8.497,8.297,8.759,9.774,10.532,10.983,11.88,12.757,13.286,13.786,13.025,12.713,12.73,14.208,15.634,17.82,19.71,21.155,22.683,24.416,26.281,28.289,30.451
Niger,3.531,3.056,2.84,2.538,2.056,2.027,2.68,3.143,3.21,3.068,3.491,3.271,3.372,3.041,1.935,2.296,2.397,2.285,2.639,2.532,2.235,2.442,2.772,3.382,3.746,4.372,4.743,5.716,7.279,7.324,7.838,8.754,9.412,10.206,10.83,9.684,10.35,11.181,12.814,12.917,13.764,14.923,15.458,16.809,19.866,21.874,24.148,26.186,28.298,30.593,33.083
Nigeria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,62.165,60.131,52.275,56.807,80.128,132.23,172.686,187.866,209.677,57.477,67.824,73.128,93.983,102.935,130.345,169.645,222.791,266.334,335.378,302.456,374.098,419.942,467.157,521.861,576.004,494.307,405.019,375.756,421.739,474.517,432.299,441.074,476.468,363.816,187.64,188.271,192.337,211.802,236.525,264.516,297.439
North Macedonia ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.443,2.687,3.561,4.687,4.642,3.928,3.764,3.867,3.774,3.709,3.991,4.946,5.684,6.257,6.86,8.337,9.912,9.4,9.415,10.499,9.751,10.824,11.378,10.067,10.686,11.336,12.694,12.609,12.385,14.008,13.957,15.772,16.679,17.885,19.049,20.146,21.22,22.368,23.618
Norway,64.439,63.597,62.647,61.627,62.058,65.417,78.693,94.231,101.901,102.634,119.791,121.872,130.838,120.579,127.132,152.031,163.52,161.357,154.23,162.384,171.456,174.24,195.915,229.385,265.267,309.979,346.914,402.646,464.915,387.974,431.052,501.361,512.777,526.014,501.737,388.16,370.957,401.745,439.789,408.743,367.633,503.368,596.298,482.95,483.727,504.276,520.593,538.234,555.165,572.965,591.969
Oman,7.269,8.849,9.285,9.733,10.726,11.916,9.433,9.89,9.613,10.743,13.395,13,14.274,14.321,14.808,15.821,17.512,18.154,16.044,17.833,22.259,22.206,23.066,24.734,28.379,35.507,42.578,48.3,69.805,55.454,64.994,77.497,87.409,89.936,92.699,78.711,75.129,80.857,91.506,88.061,75.909,87.324,109.853,105.896,106.943,104.351,107.339,113.347,119.604,126.247,133.172
Pakistan,38.616,45.681,49.932,46.619,50.612,50.607,51.827,54.171,62.385,65.042,65.276,74.158,79.338,83.969,84.642,98.917,103.296,101.848,101.381,96.008,99.421,96.784,98.169,112.507,132.206,145.209,161.871,184.141,202.204,187.074,196.712,230.577,250.094,258.674,271.422,299.93,313.623,339.229,356.163,321.071,300.41,348.481,374.85,337.754,373.078,no data,no data,no data,no data,no data,no data
Palau,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.15,0.159,0.163,0.155,0.166,0.186,0.191,0.196,0.199,0.184,0.184,0.195,0.215,0.226,0.245,0.283,0.303,0.29,0.288,0.282,0.259,0.236,0.248,0.275,0.306,0.333,0.352,0.37,0.387,0.404,0.422
Panama,4.253,4.814,5.319,5.461,5.7,6.03,6.266,6.294,5.441,5.456,5.931,6.522,7.414,8.096,8.633,8.825,10.406,11.245,12.191,12.775,12.958,13.166,13.685,14.422,15.811,17.244,19.109,22.072,26.072,28.104,30.513,35.95,41.902,47.261,51.74,56.062,60.017,64.468,67.294,69.722,57.087,67.407,76.523,83.382,87.688,91.675,97.249,103.161,109.433,116.087,123.145
Papua New Guinea,4.087,4.011,3.805,3.799,3.509,3.25,3.535,3.885,5.4,5.238,4.757,5.596,6.466,7.349,8.077,7.149,7.608,7.272,5.558,5.072,5.169,4.531,4.387,5.488,6.279,7.339,8.355,9.545,11.671,11.619,14.251,17.985,21.295,21.261,23.211,21.723,20.759,22.743,24.11,24.751,23.848,26.113,31.653,30.729,31.654,32.835,33.924,35.31,36.55,37.688,39.101
Paraguay,4.095,5.22,5.47,6.069,4.931,4.214,5.032,4.216,5.584,4.046,4.904,6.984,7.158,7.249,7.871,9.062,9.788,9.965,9.26,8.837,8.856,8.496,7.196,7.691,9.624,10.738,13.43,17.856,24.615,22.355,27.129,33.737,33.296,38.651,40.378,36.211,36.09,38.997,40.225,37.925,35.432,39.951,41.953,43.118,43.989,45.465,48.088,50.745,53.554,56.532,59.637
Peru,20.19,24.398,24.259,18.863,19.442,16.823,25.241,41.681,32.978,40.699,28.326,33.988,35.377,34.33,43.225,51.38,53.412,56.281,53.918,48.719,50.414,51.034,53.954,58.537,66.126,74.232,87.459,102.187,121.308,121.892,149.23,171.369,193.276,203.042,203.785,192.85,196.348,216.578,227.583,233.004,206.461,226.268,244.419,267.482,289.07,303.293,319.095,333.627,348.299,364.09,380.757
Philippines,37.082,40.735,42.441,37.953,35.86,34.973,34.129,37.932,43.293,48.652,50.508,51.784,60.422,62.037,73.159,84.644,94.65,94.106,74.492,85.64,83.667,78.921,84.307,87.039,95.002,107.42,127.653,155.98,181.007,176.132,208.369,234.217,261.92,283.903,297.484,306.446,318.627,328.481,346.842,376.823,361.751,394.087,404.353,437.055,461.617,497.495,538.789,586.087,638.178,695.311,757.672
Poland,56.908,53.921,65.52,75.792,75.893,71.137,74.053,64.04,68.963,67.237,62.401,80.863,89.166,90.828,104.213,139.8,157.485,157.987,172.929,168.657,172.151,191.403,199.694,218.561,256.454,307.158,345.898,429.715,535.612,440.954,478.111,527.848,498.149,518.18,542.266,479.729,472.883,528.497,594.641,602.592,605.93,689.253,695.734,809.706,908.583,979.96,1040.634,1102.183,1167.004,1234.508,1304.959
Portugal,32.607,32.477,30.678,28.267,25.951,27.231,37.869,47.386,55.435,59.806,79.439,89.904,108.119,95.139,99.692,118.182,122.655,117.211,124.124,127.597,118.658,121.605,134.7,165.185,189.296,197.363,208.767,240.524,263.388,244.402,238.639,245.383,216.674,226.681,230.138,199.059,206.249,220.785,242.203,240.142,229.435,256.226,257.101,289.781,308.59,321.44,336.265,347.893,360.829,374.432,388.164
Puerto Rico,14.436,15.956,16.764,17.277,19.163,20.289,21.969,23.878,26.178,28.267,30.604,32.287,34.63,36.923,39.691,42.647,45.341,48.187,54.086,57.841,61.702,69.669,72.546,75.834,80.322,83.915,87.276,89.524,93.639,96.386,98.381,100.352,101.565,102.45,102.446,103.376,104.337,103.446,100.958,105.126,103.131,106.427,113.567,117.902,120.978,122.522,124.775,128.477,131.641,134.823,137.978
Qatar,6.665,7.374,6.467,5.506,5.708,5.339,4.214,4.441,4.26,4.502,6.266,5.579,6.384,5.804,5.946,6.861,7.761,9.976,8.488,11.266,18.085,17.498,19.334,23.716,30.651,44.636,58.629,75.987,112.621,88.196,119.707,167.775,186.834,198.728,206.225,161.74,151.732,161.099,183.335,176.371,144.411,179.732,235.709,213.003,221.452,222.776,236.073,256.377,269.131,278.701,292.196
Romania,46.053,55.319,55.375,48.401,39.111,48.286,52.29,58.477,60.538,54.236,38.516,29.07,19.779,26.624,30.376,35.838,35.692,35.644,42.543,35.953,37.447,40.396,46.035,57.79,75.059,98.547,122.114,174.831,215.567,174.572,170.329,192.846,179.228,189.839,199.989,177.878,185.337,210.53,243.651,251.652,252.372,286.783,296.928,350.847,384.148,403.395,424.375,446.232,470.105,496.488,524.867
Russian Federation,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,71.603,196.227,293.768,335.777,412.685,433.704,287.672,209.657,278.264,328.475,370.062,461.518,633.294,817.717,1060.901,1393.416,1779.109,1307.927,1633.111,2046.621,2191.486,2288.428,2048.837,1356.703,1280.648,1575.14,1653.005,1695.724,1488.118,1828.927,2295.527,2059.762,2161.205,2076.396,2085.148,2153.274,2227.172,2303.677,2384.213
Rwanda,1.493,1.695,1.808,1.932,1.851,2.199,2.49,2.765,2.959,3.09,2.954,2.179,2.313,2.231,1.418,1.47,1.593,2.144,2.29,2.131,2.049,1.967,1.963,2.139,2.388,2.945,3.318,4.069,5.183,5.675,6.124,6.885,7.654,7.821,8.24,8.546,8.695,9.253,9.638,10.349,10.174,11.066,13.313,14.331,14.251,14.771,15.472,16.308,17.239,18.43,19.968
Saint Kitts and Nevis,0.058,0.069,0.079,0.078,0.091,0.101,0.119,0.136,0.161,0.179,0.203,0.201,0.223,0.243,0.272,0.293,0.312,0.351,0.366,0.389,0.421,0.458,0.481,0.469,0.507,0.547,0.644,0.689,0.778,0.774,0.779,0.836,0.825,0.875,0.953,0.957,1.007,1.058,1.076,1.107,0.884,0.859,0.981,1.056,1.117,1.129,1.175,1.229,1.287,1.35,1.412
Saint Lucia,0.17,0.194,0.183,0.197,0.251,0.284,0.34,0.375,0.429,0.486,0.579,0.613,0.674,0.684,0.713,0.762,0.788,0.805,0.877,0.921,0.932,0.892,0.899,0.987,1.066,1.135,1.268,1.331,1.427,1.4,1.483,1.569,1.598,1.66,1.749,1.808,1.869,1.999,2.061,2.095,1.499,1.867,2.343,2.43,2.523,2.632,2.753,2.879,3.003,3.124,3.251
Saint Vincent and the Grenadines,0.089,0.11,0.123,0.132,0.146,0.157,0.173,0.189,0.216,0.232,0.259,0.275,0.3,0.309,0.312,0.341,0.358,0.375,0.403,0.421,0.427,0.461,0.488,0.508,0.549,0.58,0.643,0.713,0.731,0.714,0.72,0.713,0.727,0.766,0.771,0.786,0.814,0.844,0.884,0.91,0.864,0.888,0.97,1.071,1.162,1.242,1.303,1.365,1.43,1.497,1.568
Samoa,0.127,0.119,0.122,0.113,0.111,0.106,0.112,0.124,0.138,0.141,0.182,0.176,0.193,0.198,0.158,0.242,0.258,0.28,0.286,0.262,0.271,0.273,0.289,0.342,0.418,0.486,0.516,0.568,0.684,0.618,0.68,0.744,0.773,0.798,0.797,0.824,0.844,0.885,0.878,0.913,0.869,0.844,0.833,0.938,1.068,1.16,1.217,1.269,1.323,1.392,1.454
San Marino,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.008,1.06,1.148,1.462,1.714,1.788,1.91,2.189,2.403,2.062,1.883,1.813,1.606,1.678,1.674,1.42,1.468,1.528,1.656,1.616,1.543,1.857,1.833,2.003,2.063,2.047,2.114,2.181,2.253,2.329,2.406
Saudi Arabia,164.54,184.292,153.24,129.181,119.631,103.894,86.886,85.582,88.138,95.217,117.474,132.047,136.905,132.79,134.995,143.152,158.451,165.742,146.776,161.717,189.515,184.138,189.606,215.808,258.742,328.205,376.398,415.687,519.797,429.098,528.207,676.635,741.85,753.864,766.606,669.485,666,714.994,846.584,838.565,734.271,874.157,1108.571,1067.583,1085.358,1083.749,1122.465,1180.93,1242.552,1307.069,1374.158
Senegal,4.338,3.934,3.85,3.435,3.35,3.668,5.188,6.241,6.173,6.083,7.078,6.955,7.435,7.014,4.746,6.026,6.3,5.867,6.416,6.599,6.016,6.508,7.001,8.767,10.072,11.015,11.699,13.996,16.852,16.128,16.134,17.811,17.672,18.919,19.802,17.777,19.035,20.989,23.127,23.405,24.534,27.584,27.75,30.625,32.892,34.728,36.784,39.299,42.114,44.931,48.347
Serbia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,24.995,20.001,12.893,10.431,13.65,17.997,23.627,26.718,28.143,33.421,45.121,54.117,46.949,43.067,51.274,45.111,50.456,49.114,41.297,42.225,45.973,52.788,53.865,55.874,65.83,66.798,81.343,89.074,92.549,99.945,108.09,115.392,123.734,132.629
Seychelles,0.147,0.154,0.148,0.147,0.151,0.169,0.208,0.249,0.284,0.305,0.369,0.374,0.434,0.474,0.486,0.508,0.503,0.563,0.608,0.623,0.615,0.622,0.698,0.706,0.839,0.919,1.016,1.034,0.998,0.847,0.97,1.018,1.06,1.328,1.388,1.432,1.568,1.675,1.777,1.867,1.384,1.49,2.018,2.187,2.168,2.198,2.284,2.388,2.498,2.613,2.756
Sierra Leone,2.708,2.903,3.264,2.838,3.283,2.794,2.092,1.823,2.988,2.745,1.509,1.812,1.58,1.786,2.118,2.026,2.188,1.974,1.562,1.555,1.498,1.726,1.99,2.218,2.339,2.738,3.144,3.451,3.926,3.795,4.174,4.799,5.746,6.736,6.521,6.75,6.038,5.823,6.39,6.519,6.682,7.165,7.119,6.397,7.653,8.386,8.726,9.142,9.592,10.067,10.553
Singapore,12.082,14.367,15.879,18.011,19.563,18.573,18.78,21.629,26.551,31.436,38.892,45.465,52.131,60.604,73.689,87.813,96.293,100.124,85.728,86.287,96.077,89.794,92.538,97.646,115.034,127.808,148.627,180.942,193.617,194.15,239.808,279.357,295.093,307.576,314.864,307.999,319.646,343.673,377.124,376.162,349.166,436.591,509.018,505.44,547.387,564.774,585.946,611.464,639.122,667.781,698.073
Slovak Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.906,16.046,20.297,21.871,22.037,22.917,20.89,20.711,21.384,24.849,33.864,43.023,48.912,57.48,77.26,97.122,89.246,91.187,99.688,94.784,99.136,101.739,89.188,90.322,95.944,106.66,105.855,107.646,120.672,116.02,132.947,140.636,147.031,154.958,162.291,169.902,177.033,184.366
Slovenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,19.285,16.637,16.857,21.399,21.48,20.769,22.08,22.668,20.262,20.693,23.263,29.399,34.19,36.002,39.293,47.886,55.503,49.921,47.832,51.19,46.196,47.868,49.527,42.714,44.279,48.136,53.713,53.916,53.342,61.57,59.975,69.168,72.463,75.224,79.019,82.537,86.106,89.962,94.032
Solomon Islands,0.183,0.194,0.193,0.181,0.182,0.166,0.148,0.155,0.176,0.173,0.215,0.228,0.269,0.301,0.403,0.469,0.511,0.527,0.458,0.488,0.42,0.41,0.346,0.353,0.398,0.477,0.539,0.62,0.699,0.736,0.847,1.05,1.185,1.286,1.336,1.308,1.379,1.47,1.615,1.619,1.536,1.523,1.566,1.661,1.777,1.898,2.02,2.131,2.246,2.371,2.49
Somalia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.022,5.183,5.869,6.443,6.841,7.391,8.252,7.873,8.655,8.628,9.484,10.203,10.969,12.134,12.994,14.144,15.567,16.976,18.253,19.534
South Africa,89.412,93.15,85.897,96.205,84.838,64.481,73.399,96.533,104.01,108.07,126.027,135.227,146.97,147.236,153.569,171.736,163.34,169.004,152.885,151.426,151.855,135.527,129.385,197.017,256.188,288.749,304.055,332.65,316.491,331.184,417.315,458.708,434.4,400.877,381.195,346.663,323.493,381.317,405.093,389.245,337.876,420.778,406.755,380.592,400.191,410.338,424.241,439.31,455.523,472.093,490.013
"South Sudan, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,17.34,11.267,14.947,15.178,15.326,2.419,1.302,2.687,4.044,5.423,5.94,8.037,7.186,5.423,3.998,6.485,6.892,7.282,7.991,8.475
Spain,231.048,204.843,197.89,173.072,172.597,181.847,251.618,318.787,374.535,413.106,536.322,577.166,630.91,529.98,531.801,614.713,642.48,590.5,619.541,635.025,598.367,627.803,708.437,907.736,1069.344,1155.306,1261.914,1476.92,1635.936,1494.963,1429.155,1487.307,1331.838,1362.207,1380.6,1206.287,1242.673,1321.288,1432.292,1403.651,1288.751,1462.216,1447.636,1620.558,1722.227,1799.511,1886.218,1961.594,2037.746,2117.209,2201.213
Sri Lanka,5.194,5.404,5.834,6.298,7.382,7.302,7.826,8.149,8.518,8.55,9.787,10.716,11.553,12.351,14.245,15.127,16.592,18.544,19.05,19.143,20.007,19.236,20.238,22.352,24.423,28.88,33.447,38.27,48.177,49.75,58.643,67.725,70.392,76.934,82.483,85.091,88,94.376,94.484,89.015,84.304,88.609,74.584,83.723,98.964,no data,no data,no data,no data,no data,no data
Sudan,9.095,6.53,4.748,6.485,7.992,5.547,7.4,11.964,9.551,16.853,2.245,2.528,3.1,5.246,5.961,6.694,8.377,10.241,10.924,10.714,13.134,15.716,18.137,21.355,26.646,35.183,45.264,59.44,64.833,54.812,65.716,66.448,48.948,52.892,60.726,64.534,64.888,48.906,33.59,31.484,35.237,35.142,33.517,36.998,28.27,31.506,36.362,42.73,47.008,50.616,53.619
Suriname,1.276,1.427,1.469,1.419,1.387,1.402,1.43,1.573,1.864,2.177,0.577,0.637,0.59,0.465,0.523,0.993,1.234,1.322,1.588,1.308,1.355,1.167,1.474,1.729,2,2.393,2.812,3.144,3.783,4.15,4.677,4.735,5.332,5.51,5.612,5.126,3.317,3.592,3.996,4.016,2.912,3.084,3.631,3.445,4.458,4.506,4.685,4.966,8.743,11.815,12.6
Sweden,139.571,127.406,112.404,103.289,107.628,112.593,148.766,180.937,204.691,215.436,258.395,270.629,281.588,212.646,228.703,267.054,291.954,268.252,270.891,274.319,262.904,242.498,267.373,334.074,384.548,391.691,422.528,490.052,514.617,434.313,492.753,570.541,549.742,584.128,577.73,501.698,514.218,536.084,551.312,532.169,545.148,637.187,579.896,585.49,610.118,620.297,649.462,677.464,704.54,732.485,761.499
Switzerland,122.466,112.129,114.891,114.517,109.4,110.965,159.074,199.086,215.36,208.135,265.911,269.003,279.764,272.006,301.246,353.094,340.241,294.824,303.238,297.581,279.305,286.78,309.579,362.132,403.461,418.265,441.898,491.075,566.938,553.873,598.339,715.864,686.553,706.748,726.634,693.805,687.771,695.544,725.91,721.867,741.288,814.699,828.522,894.867,936.738,947.125,990.523,1028.968,1074.152,1113.974,1162.661
Syria,12.98,16.652,17.415,18.649,19.171,21.177,25.428,32.497,16.538,9.849,12.303,12.738,13.263,13.796,15.105,16.556,17.761,16.573,16.144,16.785,19.861,20.979,22.758,21.702,25.204,28.881,33.824,40.488,52.631,53.939,60.043,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
São Tomé and Príncipe,0.069,0.084,0.081,0.076,0.079,0.083,0.117,0.117,0.1,0.099,0.12,0.108,0.096,0.127,0.132,0.104,0.136,0.093,0.073,0.078,0.077,0.072,0.08,0.096,0.104,0.125,0.133,0.145,0.188,0.201,0.191,0.228,0.231,0.269,0.295,0.262,0.294,0.325,0.387,0.416,0.476,0.529,0.546,0.684,0.796,0.864,0.962,1.046,1.13,1.222,1.32
Taiwan Province of China,42.285,48.969,49.535,54.148,61.071,63.617,78.195,105.039,126.473,152.704,166.622,187.14,222.911,236.339,256.247,279.059,292.494,303.284,279.964,303.83,330.68,299.276,307.439,317.381,346.924,374.06,386.45,406.907,415.901,390.829,444.281,483.974,495.61,512.943,535.328,534.515,543.081,591.687,610.69,613.512,676.861,776.965,765.624,757.335,782.441,804.889,848.398,888.67,920.008,940.95,960.132
Tajikistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.291,0.678,0.829,0.569,1.052,1.121,1.32,1.087,0.991,1.057,1.212,1.555,2.073,2.311,2.811,3.712,5.135,4.977,5.642,6.523,7.592,8.506,9.242,7.857,6.994,7.535,7.762,8.301,8.134,8.934,10.493,11.854,13.544,14.836,16.084,17.492,18.968,20.57,22.201
Tanzania,10.873,13.005,14.932,15.294,13.915,12.556,15.874,7.821,7.474,6.444,5.172,6.019,5.588,5.17,5.478,6.382,7.889,9.341,11.481,11.777,12.369,12.61,13.123,14.159,15.576,17.174,18.878,21.81,27.779,29.301,31.86,34.369,39.65,45.677,49.982,47.424,49.774,54,54.775,58.797,63.373,67.964,74.173,79.138,80.171,85.977,93.523,102.391,112.264,123.055,134.553
Thailand,33.422,35.999,37.799,41.366,43.179,40.185,44.52,52.204,63.704,74.637,88.467,101.247,115.576,128.889,146.684,169.279,183.035,150.18,113.676,126.669,126.392,120.296,134.301,152.281,172.896,189.318,221.758,262.943,291.383,281.711,341.105,370.819,397.558,420.334,407.339,401.296,413.366,456.357,506.754,543.977,500.462,506.195,495.645,515.906,526.411,546.224,556.756,573.857,593.755,616.061,640.494
Timor-Leste,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.367,0.477,0.47,0.49,0.441,0.462,0.454,0.543,0.648,0.727,0.882,1.042,1.16,1.396,1.448,1.59,1.64,1.585,1.556,2.033,2.163,3.625,3.209,2.08,2.015,2.115,2.246,2.338,2.483,2.634,2.795
Togo,1.994,1.656,1.396,1.33,1.222,1.281,1.795,2.107,2.345,2.302,2.772,2.74,2.873,2.189,1.697,2.24,2.448,2.494,2.361,2.37,2.014,2,2.301,2.854,3.048,3.08,3.173,3.76,4.578,4.717,4.75,5.421,5.417,6.022,6.395,5.756,6.069,6.385,7.033,6.993,7.4,8.338,8.144,9.081,9.776,10.023,10.76,11.57,12.443,13.392,14.411
Tonga,0.071,0.079,0.079,0.077,0.081,0.076,0.09,0.098,0.115,0.139,0.144,0.169,0.178,0.183,0.189,0.207,0.218,0.222,0.212,0.197,0.203,0.181,0.183,0.202,0.231,0.262,0.292,0.299,0.344,0.312,0.367,0.415,0.427,0.452,0.441,0.438,0.421,0.46,0.481,0.494,0.503,0.52,0.515,0.512,0.539,0.568,0.591,0.617,0.64,0.662,0.684
Trinidad and Tobago,6.343,7.113,8.28,7.898,7.891,7.503,4.877,4.88,4.574,4.397,5.155,5.399,5.533,4.656,5.032,5.421,5.859,5.837,6.148,6.926,8.295,8.96,9.148,11.464,13.472,16.17,18.6,21.937,28.193,19.52,22.522,25.789,27.147,28.561,29.474,26.841,23.624,23.848,23.889,23.588,20.991,24.177,28.51,25.489,25.524,26.467,26.885,27.439,28.421,29.412,30.194
Tunisia,9.566,9.223,8.9,9.202,9.054,9.245,9.91,10.663,11.073,11.069,14.133,14.897,17.809,16.724,17.886,20.616,22.324,21.762,22.87,24.066,22.524,23.146,24.274,28.797,32.71,33.851,36.059,40.819,47.039,45.593,46.21,48.122,47.311,48.681,50.273,45.779,44.36,42.167,42.687,41.905,42.494,46.813,44.596,48.541,53.063,56.291,57.875,58.656,59.967,61.078,62.809
Turkmenistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.625,9.169,7.765,10.043,4.068,4.584,4.893,6.595,8.587,11.855,14.875,19.533,24.272,29.363,36.577,44.388,36.788,34.562,35.164,44.413,50.252,50.863,56.204,44.944,42.876,45.902,49.299,53.035,52.385,60.934,77.963,77.876,82.515,89.054,97.017,106.069,116.075,127.144,139.416
Tuvalu,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.015,0.014,0.017,0.02,0.023,0.023,0.024,0.029,0.032,0.028,0.033,0.04,0.039,0.039,0.039,0.037,0.041,0.045,0.048,0.054,0.052,0.062,0.061,0.063,0.065,0.065,0.067,0.07,0.073,0.076,0.079
"Türkiye, Republic of",96.596,97.865,88.918,84.968,82.642,92.827,102.337,118.926,125.032,147.727,207.508,208.402,219.176,248.573,179.359,233.566,250.486,261.857,277.599,254.024,273.118,202.558,238.15,316.54,407.024,504.8,552.332,682.992,782.851,651.513,777.443,837.924,877.681,958.088,939.924,867.054,869.204,859.02,797.707,760.388,717.114,807.893,905.8,1130.062,1322.405,1437.406,1401.458,1475.475,1585.498,1682.488,1775.62
Uganda,7.486,12.12,8.41,9.619,7.399,6.771,6.746,10.878,11.268,9.136,7.452,3.897,3.645,4.311,6.24,7.473,7.713,8.407,8.23,7.823,7.756,7.835,8.425,8.725,10.75,12.46,14.079,17.512,22.419,24.107,24.683,27.501,30.939,32.331,34.754,30.122,30.232,31.589,34.126,37.895,37.889,42.805,47.276,51.934,56.453,64.277,71.421,78.775,85.883,94.837,105.314
Ukraine,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,22.193,35.025,38.012,38.275,46.083,51.867,43.315,32.661,32.331,37.863,42.339,50.096,64.747,85.996,107.767,143.26,181.313,117.079,136.011,163.059,175.781,183.31,133.392,90.922,93.349,112.064,130.905,153.904,156.566,199.835,161.987,178.763,190.426,205.742,220.408,234.821,250.078,266.307,283.321
United Arab Emirates,41.725,46.461,43.205,39.588,39.245,38.519,30.526,33.519,34.069,39.325,50.682,49.3,51.952,52.144,57.395,63.432,72.853,77.167,75.304,84.42,102.987,103.312,109.816,124.346,147.812,180.616,222.117,257.883,315.464,253.547,300.189,360.833,384.61,400.219,414.105,370.276,369.255,390.517,427.049,417.99,349.473,415.179,502.732,514.13,537.079,548.598,577.424,614.689,654.065,695.217,736.811
